month,editor_type,total.content,total.non-content
2009--0-9-T00:00:00.000Z,group-bot,10871,2050
2009--0-9-T00:00:00.000Z,name-bot,57548,8282
2009--1-0-T00:00:00.000Z,anonymous,34505,3048
2009--1-0-T00:00:00.000Z,user,154606,46684
2009--1-0-T00:00:00.000Z,group-bot,18164,1731
2009--1-0-T00:00:00.000Z,name-bot,80394,9159
2009--1-1-T00:00:00.000Z,anonymous,34846,3424
2009--1-1-T00:00:00.000Z,user,162225,45238
2009--1-1-T00:00:00.000Z,group-bot,18753,1643
2009--1-1-T00:00:00.000Z,name-bot,61392,7964
2009--1-2-T00:00:00.000Z,anonymous,34822,3235
2009--1-2-T00:00:00.000Z,user,156032,44369
2009--1-2-T00:00:00.000Z,group-bot,43959,2085
2009--1-2-T00:00:00.000Z,name-bot,50054,15867
2010--0-1-T00:00:00.000Z,anonymous,42874,3781
2010--0-1-T00:00:00.000Z,user,162710,49622
2010--0-1-T00:00:00.000Z,group-bot,26332,1085
2010--0-1-T00:00:00.000Z,name-bot,63683,15697
2010--0-2-T00:00:00.000Z,anonymous,37347,3220
2010--0-2-T00:00:00.000Z,user,152061,46134
2010--0-2-T00:00:00.000Z,group-bot,11396,1149
2010--0-2-T00:00:00.000Z,name-bot,72848,12874
2010--0-3-T00:00:00.000Z,anonymous,40274,3259
2010--0-3-T00:00:00.000Z,user,149571,45911
2010--0-3-T00:00:00.000Z,group-bot,58720,5280
2010--0-3-T00:00:00.000Z,name-bot,74681,14293
2010--0-4-T00:00:00.000Z,anonymous,38145,3642
2010--0-4-T00:00:00.000Z,user,150722,46565
2010--0-4-T00:00:00.000Z,group-bot,39639,13331
2010--0-4-T00:00:00.000Z,name-bot,95806,10391
2010--0-5-T00:00:00.000Z,anonymous,41503,3518
2010--0-5-T00:00:00.000Z,user,153433,45786
2010--0-5-T00:00:00.000Z,group-bot,23712,7817
2010--0-5-T00:00:00.000Z,name-bot,148792,8384
2010--0-6-T00:00:00.000Z,anonymous,33791,2820
2010--0-6-T00:00:00.000Z,user,140191,45522
2010--0-6-T00:00:00.000Z,group-bot,24026,4733
2010--0-6-T00:00:00.000Z,name-bot,80813,6162
2010--0-7-T00:00:00.000Z,anonymous,31817,2663
2010--0-7-T00:00:00.000Z,user,139570,42179
2010--0-7-T00:00:00.000Z,group-bot,21580,7698
2010--0-7-T00:00:00.000Z,name-bot,103814,5437
2010--0-8-T00:00:00.000Z,anonymous,32029,2971
2010--0-8-T00:00:00.000Z,user,139779,43641
2010--0-8-T00:00:00.000Z,group-bot,23673,2308
2010--0-8-T00:00:00.000Z,name-bot,65704,8563
2010--0-9-T00:00:00.000Z,anonymous,29831,3094
2010--0-9-T00:00:00.000Z,user,135894,45670
2010--0-9-T00:00:00.000Z,group-bot,77837,4681
2010--0-9-T00:00:00.000Z,name-bot,68004,8036
2010--1-0-T00:00:00.000Z,anonymous,29456,3245
2010--1-0-T00:00:00.000Z,user,126369,43500
2010--1-0-T00:00:00.000Z,group-bot,29489,5203
2010--1-0-T00:00:00.000Z,name-bot,61823,10541
2010--1-1-T00:00:00.000Z,anonymous,30444,2962
2010--1-1-T00:00:00.000Z,user,133046,43724
2010--1-1-T00:00:00.000Z,group-bot,23505,9414
2010--1-1-T00:00:00.000Z,name-bot,66227,11793
2010--1-2-T00:00:00.000Z,anonymous,30922,2880
2010--1-2-T00:00:00.000Z,user,139435,41028
2010--1-2-T00:00:00.000Z,group-bot,65836,3317
2010--1-2-T00:00:00.000Z,name-bot,303691,9345
2011--0-1-T00:00:00.000Z,anonymous,36099,3531
2011--0-1-T00:00:00.000Z,user,153212,49172
2011--0-1-T00:00:00.000Z,group-bot,54618,2621
2011--0-1-T00:00:00.000Z,name-bot,98718,10712
2011--0-2-T00:00:00.000Z,anonymous,34049,2929
2011--0-2-T00:00:00.000Z,user,138414,45451
2011--0-2-T00:00:00.000Z,group-bot,20019,6480
2011--0-2-T00:00:00.000Z,name-bot,52958,8209
2011--0-3-T00:00:00.000Z,anonymous,33166,3030
2011--0-3-T00:00:00.000Z,user,127806,46840
2011--0-3-T00:00:00.000Z,group-bot,45545,3175
2011--0-3-T00:00:00.000Z,name-bot,70748,8417
2011--0-4-T00:00:00.000Z,anonymous,30537,2834
2011--0-4-T00:00:00.000Z,user,125161,45288
2011--0-4-T00:00:00.000Z,group-bot,36235,6677
2011--0-4-T00:00:00.000Z,name-bot,89938,7021
2011--0-5-T00:00:00.000Z,anonymous,29923,2524
2011--0-5-T00:00:00.000Z,user,131099,43813
2011--0-5-T00:00:00.000Z,group-bot,43447,3294
2011--0-5-T00:00:00.000Z,name-bot,94191,7224
2011--0-6-T00:00:00.000Z,anonymous,28397,2244
2011--0-6-T00:00:00.000Z,user,135677,44365
2011--0-6-T00:00:00.000Z,group-bot,42893,5417
2011--0-6-T00:00:00.000Z,name-bot,62561,6927
2011--0-7-T00:00:00.000Z,anonymous,27975,2213
2011--0-7-T00:00:00.000Z,user,141499,47233
2011--0-7-T00:00:00.000Z,group-bot,91549,5905
2011--0-7-T00:00:00.000Z,name-bot,70742,19258
2011--0-8-T00:00:00.000Z,anonymous,27351,2226
2011--0-8-T00:00:00.000Z,user,139918,45675
2011--0-8-T00:00:00.000Z,group-bot,23689,19625
2011--0-8-T00:00:00.000Z,name-bot,76741,15800
2011--0-9-T00:00:00.000Z,anonymous,23887,2187
2011--0-9-T00:00:00.000Z,user,131573,49985
2011--0-9-T00:00:00.000Z,group-bot,34393,4044
2011--0-9-T00:00:00.000Z,name-bot,55927,10204
2011--1-0-T00:00:00.000Z,anonymous,25672,2174
2011--1-0-T00:00:00.000Z,user,131121,46813
2011--1-0-T00:00:00.000Z,group-bot,25286,20012
2011--1-0-T00:00:00.000Z,name-bot,54562,12566
2011--1-1-T00:00:00.000Z,anonymous,27019,2211
2011--1-1-T00:00:00.000Z,user,129756,46518
2011--1-1-T00:00:00.000Z,group-bot,22094,4562
2011--1-1-T00:00:00.000Z,name-bot,61663,9734
2011--1-2-T00:00:00.000Z,anonymous,25908,2148
2011--1-2-T00:00:00.000Z,user,154317,44936
2011--1-2-T00:00:00.000Z,group-bot,24027,17616
2011--1-2-T00:00:00.000Z,name-bot,72479,15355
2012--0-1-T00:00:00.000Z,anonymous,30328,2757
2012--0-1-T00:00:00.000Z,user,143136,51126
2012--0-1-T00:00:00.000Z,group-bot,31289,4517
2012--0-1-T00:00:00.000Z,name-bot,99078,40154
2012--0-2-T00:00:00.000Z,anonymous,28269,2266
2012--0-2-T00:00:00.000Z,user,133726,47584
2012--0-2-T00:00:00.000Z,group-bot,20293,9176
2012--0-2-T00:00:00.000Z,name-bot,68341,11906
2012--0-3-T00:00:00.000Z,anonymous,29806,2538
2012--0-3-T00:00:00.000Z,user,138442,47949
2012--0-3-T00:00:00.000Z,group-bot,69139,5901
2012--0-3-T00:00:00.000Z,name-bot,73355,11923
2012--0-4-T00:00:00.000Z,anonymous,26207,2419
